brand,model,price,link,stock_status,vendor
Diamondback,"DB9 Compact Pistol - Midnight Bronze | 9mm | 3"" Barrel",$215.00,https://www.2ndamendmentwholesale.com/diamondback-db9-compact-pistol-midnight-bronze-9mm-3-barrel,In Stock,Second Amendment Wholesale
IWI,"Jericho 941 Mid Size Enhanced Pistol - Black | 9mm | 3.8"" Barrel",$429.00,https://www.2ndamendmentwholesale.com/iwi-jericho-941-mid-size-enhanced-pistol-black-9mm-3-8-barrel,In Stock,Second Amendment Wholesale
Kalashnikov,"USA KR103 AK-47 Rifle - Black | 7.62x39 | 16.3"" Chrome Lined Barrel | Muzzle Brake",$999.99,https://www.2ndamendmentwholesale.com/kalashnikov-usa-kr103-ak-47-rifle-black-7-62x39-16-3-chrome-lined-barrel-muzzle-brake,In Stock,Second Amendment Wholesale
ATI,"MILSPORT Forged Aluminum P3P AR Rifle - Black | 5.56NATO | 16"" barrel | 10"" M-LOK Rail",$419.99,https://www.2ndamendmentwholesale.com/ati-milsport-forged-aluminum-p3p-ar-rifle-black-5-56nato-16-barrel-10-m-lok-rail,In Stock,Second Amendment Wholesale
Zastava,"ZPAP92 AK-47 Pistol BULGED TRUNNION 1.5MM RECEIVER - Stained Wood Handguard | 7.62x39 | 10"" Chrome Lined Barrel | Booster Brake | SBA3 Arm Brace","$1,042.99",https://www.2ndamendmentwholesale.com/zastava-zpap92-ak-47-pistol-bulged-trunnion-1-5mm-receiver-stained-wood-handguard-7-62x39-10-chrome-lined-barrel-booster-brake-sba3-arm-brace,In Stock,Second Amendment Wholesale
CZ,"Bren 2 Ms Pistol - Black | 5.56NATO | 8"" Barrel","$1,649.99",https://www.2ndamendmentwholesale.com/cz-bren-2-ms-pistol-black-5-56nato-8-26-barrel,In Stock,Second Amendment Wholesale
Diamondback,"DB15 AR Rifle - Black | 300 BLK | 16"" Barrel | 12"" M-LOK Rail | A2 Grip | A2 Flash Hider",$549.00,https://www.2ndamendmentwholesale.com/diamondback-db15-ar-rifle-black-300-blk-16-barrel-12-m-lok-rail-a2-grip-a2-flash-hider,In Stock,Second Amendment Wholesale
Del-Ton,"Sierra M2 316L Forged Aluminum AR15 Rifle - Black | 5.56NATO | 16"" Light Profile Barrel (1:9 Twist) | 15"" M-LOK Rail | M4 Stock | A2 Flash Hider | Optic Ready",$469.99,https://www.2ndamendmentwholesale.com/del-ton-sierra-m2-316l-forged-aluminum-ar15-black-5-56nato-16-light-profile-barrel-1-9-twist-15-m-lok-rail-m4-stock-a2-flash-hider-optic-ready,In Stock,Second Amendment Wholesale
ET,"Arms Omega 15 Polymer AR Rifle - Black | 5.56 NATO | 16"" barrel | 15"" M-LOK Rail | ATI SR-1 Stock",$399.99,https://www.2ndamendmentwholesale.com/et-arms-omega-15-polymer-ar-rifle-black-5-56-nato-16-barrel-15-m-lok-rail-ati-sr-1-stock,In Stock,Second Amendment Wholesale
IWI,"Jericho 941 Mid-Size Pistol - 9mm | 3.8"" Barrel | Steel Frame",$499.00,https://www.2ndamendmentwholesale.com/iwi-jericho-941-mid-size-pistol-9mm-3-8-barrel-steel-frame,In Stock,Second Amendment Wholesale
Diamondback,"DB9 Compact Pistol - OD Green | 9mm | 3"" Barrel",$215.00,https://www.2ndamendmentwholesale.com/diamondback-db9-compact-pistol-od-green-9mm-3-barrel,In Stock,Second Amendment Wholesale
